,concreteness,iconicity,childBOI,adultBOI,Auditory,Gustatory,Haptic,Interoceptive,Olfactory,Visual,Foot_leg,Hand_arm,Head,Mouth,Torso,socialness,valence,arousal,dominance,imageability,babiness
gpt-4o-2024-08-06,695,0,1390,0,695,0,0,0,0,0,0,0,0,0,0,0,6255,5560,6950,0,0
gpt-4o-2024-05-13,0,0,47,0,0,94,0,0,0,0,0,0,0,0,0,3,0,0,0,47,0
gpt-4o-mini-2024-07-18,1,166,0,0,0,2035,117,695,695,0,0,0,819,2776,0,0,0,0,0,0,0
meta-llama_Meta-Llama-3-70B-Instruct,24,152,0,1,24,0,1,2,46,0,769,24,24,0,0,0,24,25,24,24,0
meta-llama_Meta-Llama-3-8B-Instruct,823,956,921,101,1979,2772,1622,2098,1798,1462,6316,5739,6020,6585,5611,89,405,58,151,69,548
meta-llama_Meta-Llama-3.1-405B-Instruct,0,24,0,0,0,0,0,0,0,0,1334,616,639,0,0,1,49,25,25,0,0
meta-llama_Meta-Llama-3.1-70B-Instruct,0,2086,0,1390,1686,5320,1949,1705,1445,428,2222,695,1,1638,1614,3475,0,0,0,0,2086
meta-llama_Meta-Llama-3.1-8B-Instruct,1,96,1,1,49,1352,834,24,110,1128,300,2681,674,5501,2150,25,97,50,49,25,24
mistralai_Mixtral-8x22B-Instruct-v0.1,10,21,1811,243,12,12,12,12,12,13,13,705,2787,697,6250,11,16,16,17,11,11
microsoft_WizardLM-2-8x22B,771,584,1176,1224,74,191,378,180,448,732,1424,379,1632,202,2894,278,360,15,239,137,144
Qwen_Qwen2-72B-Instruct,0,51,24,72,49,2249,721,141,746,74,751,74,49,798,706,24,124,99,72,72,48
