"wordFeatures","Prop","Index","Model","N","Mean","SD","SE"
"concreteness",10,"Correlation coefficient","Gpt-4o",5,0.829049997709724,0.0149252730362417,0.00667478501835622
"concreteness",10,"Correlation coefficient","Llama-3.1-70B",5,0.821943519102112,0.0185474364130226,0.00829466572557467
"concreteness",10,"KL divergence (log)","Gpt-4o",5,0.779936511794297,1.77928657035467,0.7957211445531
"concreteness",10,"KL divergence (log)","Llama-3.1-70B",5,1.88684060220101,1.12307190809865,0.502253026025798
"concreteness",20,"Correlation coefficient","Gpt-4o",5,0.824922859169905,0.0380784842900279,0.0170292158705321
"concreteness",20,"Correlation coefficient","Llama-3.1-70B",5,0.842347190888426,0.0145230031048709,0.00649488443598637
"concreteness",20,"KL divergence (log)","Gpt-4o",5,1.34280064655118,1.5864366133113,0.709476021871724
"concreteness",20,"KL divergence (log)","Llama-3.1-70B",5,1.06499722385286,1.1528522167559,0.515571184935504
"concreteness",30,"Correlation coefficient","Gpt-4o",5,0.84048998748117,0.0198032261673048,0.00885627197677924
"concreteness",30,"Correlation coefficient","Llama-3.1-70B",5,0.840992533595396,0.00626730553339422,0.00280282424168601
"concreteness",30,"KL divergence (log)","Gpt-4o",5,1.80806695490873,1.1779713161915,0.526804787709819
"concreteness",30,"KL divergence (log)","Llama-3.1-70B",5,0.930967145704317,0.655500244311006,0.293148621109426
"concreteness",40,"Correlation coefficient","Gpt-4o",5,0.825729132724298,0.0174421169096853,0.00780035181631098
"concreteness",40,"Correlation coefficient","Llama-3.1-70B",5,0.833380466245507,0.0263909841531037,0.0118024069118919
"concreteness",40,"KL divergence (log)","Gpt-4o",5,1.12492120126552,1.08446121045549,0.484985797108035
"concreteness",40,"KL divergence (log)","Llama-3.1-70B",5,1.22159918113453,0.95187225434518,0.425690213322359
"concreteness",50,"Correlation coefficient","Gpt-4o",5,0.820096801068027,0.0186962516170177,0.00836121790801841
"concreteness",50,"Correlation coefficient","Llama-3.1-70B",5,0.820906885015597,0.0188427135171455,0.00842671766097828
"concreteness",50,"KL divergence (log)","Gpt-4o",5,0.122504726718078,0.86482225304082,0.38676026925076
"concreteness",50,"KL divergence (log)","Llama-3.1-70B",5,1.45591481224267,0.692797296512842,0.309828369926158
"adultBOI",10,"Correlation coefficient","Gpt-4o",5,0.891535494199187,0.00911095009075226,0.00407454074850599
"adultBOI",10,"Correlation coefficient","Llama-3.1-70B",5,0.839598876892025,0.0491842678529201,0.0219958732685374
"adultBOI",10,"KL divergence (log)","Gpt-4o",5,1.83691482250588,1.82391517738142,0.815679664363687
"adultBOI",10,"KL divergence (log)","Llama-3.1-70B",5,3.12492116851682,0.035676438130492,0.0159549881709691
"adultBOI",20,"Correlation coefficient","Gpt-4o",5,0.892762907091727,0.0149591697741267,0.00668994410038152
"adultBOI",20,"Correlation coefficient","Llama-3.1-70B",5,0.893799223600848,0.0149664213266348,0.00669318709325159
"adultBOI",20,"KL divergence (log)","Gpt-4o",5,0.468107885202179,0.644667420939319,0.288304035219958
"adultBOI",20,"KL divergence (log)","Llama-3.1-70B",5,1.78413685783941,0.74101283390779,0.331391013763516
"adultBOI",30,"Correlation coefficient","Gpt-4o",5,0.882666353624807,0.0143983647336308,0.0064391444618468
"adultBOI",30,"Correlation coefficient","Llama-3.1-70B",5,0.894586762226078,0.0113316716223113,0.00506767760923867
"adultBOI",30,"KL divergence (log)","Gpt-4o",5,0.94586837160044,0.868619882009766,0.388458620556337
"adultBOI",30,"KL divergence (log)","Llama-3.1-70B",5,1.70387275293145,0.834810454149589,0.373338584761191
"adultBOI",40,"Correlation coefficient","Gpt-4o",5,0.889955643745754,0.0126410504913668,0.00565324964114064
"adultBOI",40,"Correlation coefficient","Llama-3.1-70B",5,0.880221560113259,0.0135689182842802,0.00606820473295805
"adultBOI",40,"KL divergence (log)","Gpt-4o",5,1.12222460757913,0.448726330787479,0.200676515786972
"adultBOI",40,"KL divergence (log)","Llama-3.1-70B",5,2.28850280550932,0.783132696582608,0.350227588992286
"adultBOI",50,"Correlation coefficient","Gpt-4o",5,0.894901338254102,0.00961879390792648,0.00430165540793689
"adultBOI",50,"Correlation coefficient","Llama-3.1-70B",5,0.901760407663737,0.00590669684110597,0.00264155513183925
"adultBOI",50,"KL divergence (log)","Gpt-4o",5,1.39161242419943,1.06235698723635,0.475100487966472
"adultBOI",50,"KL divergence (log)","Llama-3.1-70B",5,1.45822726921959,0.366561544022487,0.163931306074312
"childBOI",10,"Correlation coefficient","Gpt-4o",5,0.775220049357141,0.0454199315472367,0.0203124108946017
"childBOI",10,"Correlation coefficient","Llama-3.1-70B",5,0.73066920732015,0.0357436929188116,0.0159850654266681
"childBOI",10,"KL divergence (log)","Gpt-4o",5,2.40535823857483,0.981749632213242,0.439051782902845
"childBOI",10,"KL divergence (log)","Llama-3.1-70B",5,2.41035319838006,1.07362082046924,0.480137827325664
"childBOI",20,"Correlation coefficient","Gpt-4o",5,0.801325970209466,0.0418930143565498,0.018735125576724
"childBOI",20,"Correlation coefficient","Llama-3.1-70B",5,0.796657801427501,0.0461913276400193,0.0206573897148096
"childBOI",20,"KL divergence (log)","Gpt-4o",5,1.72888283210279,1.88009375126739,0.840803486381293
"childBOI",20,"KL divergence (log)","Llama-3.1-70B",5,1.38194500504642,0.693131081489391,0.309977643105645
"childBOI",30,"Correlation coefficient","Gpt-4o",5,0.839703096853414,0.0201108544839401,0.00899384754233931
"childBOI",30,"Correlation coefficient","Llama-3.1-70B",5,0.786731325918363,0.0653411023017343,0.0292214292942892
"childBOI",30,"KL divergence (log)","Gpt-4o",5,0.908764596574357,2.02052709482605,0.903607186882243
"childBOI",30,"KL divergence (log)","Llama-3.1-70B",5,1.98756441281405,1.0447698221478,0.46723526863257
"childBOI",40,"Correlation coefficient","Gpt-4o",5,0.820038994331367,0.0255683824537987,0.0114345282482813
"childBOI",40,"Correlation coefficient","Llama-3.1-70B",5,0.803747339551282,0.0322582103319719,0.014426310226955
"childBOI",40,"KL divergence (log)","Gpt-4o",5,2.38413741457387,1.6763241552637,0.749674952698908
"childBOI",40,"KL divergence (log)","Llama-3.1-70B",5,1.86188148393431,0.749657798750502,0.335257159573796
"childBOI",50,"Correlation coefficient","Gpt-4o",5,0.848278939677135,0.0211161020388523,0.00944340791573914
"childBOI",50,"Correlation coefficient","Llama-3.1-70B",5,0.823888565479065,0.0272812339803752,0.0122005387380392
"childBOI",50,"KL divergence (log)","Gpt-4o",5,0.62329411322376,1.66963307707536,0.746682611564531
"childBOI",50,"KL divergence (log)","Llama-3.1-70B",5,0.79707966092255,1.61109392538142,0.720503107057966
"iconicity",10,"Correlation coefficient","Gpt-4o",5,0.27975596650703,0.0541780759809058,0.0242291721566908
"iconicity",10,"Correlation coefficient","Llama-3.1-70B",5,0.324596046163972,0.066173968553484,0.0295938984053047
"iconicity",10,"KL divergence (log)","Gpt-4o",5,2.51365723455256,0.816085018583706,0.364964315394469
"iconicity",10,"KL divergence (log)","Llama-3.1-70B",5,3.12197323471091,0.0127366792414425,0.00569601611829517
"iconicity",20,"Correlation coefficient","Gpt-4o",5,0.334240403926179,0.0808232207536043,0.0361452431531062
"iconicity",20,"Correlation coefficient","Llama-3.1-70B",5,0.384662907337802,0.0517642863495109,0.0231496926168542
"iconicity",20,"KL divergence (log)","Gpt-4o",5,2.4678321980498,0.475013471381526,0.212432482447449
"iconicity",20,"KL divergence (log)","Llama-3.1-70B",5,2.26009524395857,1.04564380709092,0.467626126581396
"iconicity",30,"Correlation coefficient","Gpt-4o",5,0.305521568342411,0.056126631411141,0.0251005926366773
"iconicity",30,"Correlation coefficient","Llama-3.1-70B",5,0.340381526939785,0.0661328146634377,0.0295754938261683
"iconicity",30,"KL divergence (log)","Gpt-4o",5,2.1848381572065,0.638984736931165,0.285762661672581
"iconicity",30,"KL divergence (log)","Llama-3.1-70B",5,1.98454562137369,0.737795429918996,0.329952146957511
"iconicity",40,"Correlation coefficient","Gpt-4o",5,0.261040533737394,0.167392773514777,0.0748603241042533
"iconicity",40,"Correlation coefficient","Llama-3.1-70B",5,0.379339234972644,0.044806600840338,0.020038121063939
"iconicity",40,"KL divergence (log)","Gpt-4o",5,2.07911021800586,0.911947482064675,0.407835312361277
"iconicity",40,"KL divergence (log)","Llama-3.1-70B",5,1.59176412387625,0.354042463880109,0.158332603231488
"iconicity",50,"Correlation coefficient","Gpt-4o",5,0.329364569702268,0.0454608299339507,0.0203307012091742
