"wordFeatures","Index","Model","N","Mean","SD","SE"
"concreteness","Correlation coefficient","Gpt-4o",1,0.870463632057613,NA,NA
"concreteness","Correlation coefficient","Llama-3.1-70B",1,0.835779909342227,NA,NA
"concreteness","KL divergence (log)","Gpt-4o",1,-1.04077049756358,NA,NA
"concreteness","KL divergence (log)","Llama-3.1-70B",1,-1.06946258163157,NA,NA
"adultBOI","Correlation coefficient","Gpt-4o",1,0.864300606686348,NA,NA
"adultBOI","Correlation coefficient","Llama-3.1-70B",1,0.841990766626358,NA,NA
"adultBOI","KL divergence (log)","Gpt-4o",1,0.781258689149435,NA,NA
"adultBOI","KL divergence (log)","Llama-3.1-70B",1,2.35656153993406,NA,NA
"childBOI","Correlation coefficient","Gpt-4o",1,0.810783538039974,NA,NA
"childBOI","Correlation coefficient","Llama-3.1-70B",1,0.789907419668017,NA,NA
"childBOI","KL divergence (log)","Gpt-4o",1,-0.157713851253037,NA,NA
"childBOI","KL divergence (log)","Llama-3.1-70B",1,0.249330105385263,NA,NA
"iconicity","Correlation coefficient","Gpt-4o",1,0.412157553281123,NA,NA
"iconicity","Correlation coefficient","Llama-3.1-70B",1,0.351129189666951,NA,NA
"iconicity","KL divergence (log)","Gpt-4o",1,2.83743719821424,NA,NA
"iconicity","KL divergence (log)","Llama-3.1-70B",1,1.8011460184719,NA,NA
"babiness","Correlation coefficient","Gpt-4o",1,0.581991815624731,NA,NA
"babiness","Correlation coefficient","Llama-3.1-70B",1,0.648446685394212,NA,NA
"babiness","KL divergence (log)","Gpt-4o",1,-0.0268814596279717,NA,NA
"babiness","KL divergence (log)","Llama-3.1-70B",1,1.20789236771709,NA,NA
"valence","Correlation coefficient","Gpt-4o",1,0.766642119188782,NA,NA
"valence","Correlation coefficient","Llama-3.1-70B",1,0.716953744251364,NA,NA
"valence","KL divergence (log)","Gpt-4o",1,-0.512809838105854,NA,NA
"valence","KL divergence (log)","Llama-3.1-70B",1,0.374733218166088,NA,NA
"arousal","Correlation coefficient","Gpt-4o",1,0.332350687374318,NA,NA
"arousal","Correlation coefficient","Llama-3.1-70B",1,0.460579766982275,NA,NA
"arousal","KL divergence (log)","Gpt-4o",1,1.6556686320605,NA,NA
"arousal","KL divergence (log)","Llama-3.1-70B",1,2.55012942421937,NA,NA
"dominance","Correlation coefficient","Gpt-4o",1,0.384164497066505,NA,NA
"dominance","Correlation coefficient","Llama-3.1-70B",1,0.41257153971784,NA,NA
"dominance","KL divergence (log)","Gpt-4o",1,1.91859099524238,NA,NA
"dominance","KL divergence (log)","Llama-3.1-70B",1,-0.167089159286382,NA,NA
"Auditory","Correlation coefficient","Gpt-4o",1,0.770156614950403,NA,NA
"Auditory","Correlation coefficient","Llama-3.1-70B",1,0.739546002683094,NA,NA
"Auditory","KL divergence (log)","Gpt-4o",1,2.27349309404731,NA,NA
"Auditory","KL divergence (log)","Llama-3.1-70B",1,1.08859547651499,NA,NA
"Gustatory","Correlation coefficient","Gpt-4o",1,0.576848027294527,NA,NA
"Gustatory","Correlation coefficient","Llama-3.1-70B",1,0.558316625473535,NA,NA
"Gustatory","KL divergence (log)","Gpt-4o",1,1.46979259468762,NA,NA
"Gustatory","KL divergence (log)","Llama-3.1-70B",1,2.31577885753762,NA,NA
"Haptic","Correlation coefficient","Gpt-4o",1,0.769558695404395,NA,NA
"Haptic","Correlation coefficient","Llama-3.1-70B",1,0.723637026426582,NA,NA
"Haptic","KL divergence (log)","Gpt-4o",1,1.26867671919826,NA,NA
"Haptic","KL divergence (log)","Llama-3.1-70B",1,-0.0789651958856602,NA,NA
"Interoceptive","Correlation coefficient","Gpt-4o",1,0.513461212844511,NA,NA
"Interoceptive","Correlation coefficient","Llama-3.1-70B",1,0.657061471660456,NA,NA
"Interoceptive","KL divergence (log)","Gpt-4o",1,2.86762773151677,NA,NA
"Interoceptive","KL divergence (log)","Llama-3.1-70B",1,0.778028626077374,NA,NA
"Olfactory","Correlation coefficient","Gpt-4o",1,0.622701688349679,NA,NA
"Olfactory","Correlation coefficient","Llama-3.1-70B",1,0.636406359133593,NA,NA
"Olfactory","KL divergence (log)","Gpt-4o",1,0.863140658081874,NA,NA
"Olfactory","KL divergence (log)","Llama-3.1-70B",1,0.636761162474466,NA,NA
"Visual","Correlation coefficient","Gpt-4o",1,0.619465171671969,NA,NA
"Visual","Correlation coefficient","Llama-3.1-70B",1,0.60836397899967,NA,NA
"Visual","KL divergence (log)","Gpt-4o",1,-0.117116203802332,NA,NA
"Visual","KL divergence (log)","Llama-3.1-70B",1,0.410989038993592,NA,NA
"Foot_leg","Correlation coefficient","Gpt-4o",1,0.599287000423627,NA,NA
"Foot_leg","Correlation coefficient","Llama-3.1-70B",1,0.520511037970239,NA,NA
"Foot_leg","KL divergence (log)","Gpt-4o",1,0.342520236265507,NA,NA
"Foot_leg","KL divergence (log)","Llama-3.1-70B",1,1.14726495931147,NA,NA
"Hand_arm","Correlation coefficient","Gpt-4o",1,0.620146641971644,NA,NA
"Hand_arm","Correlation coefficient","Llama-3.1-70B",1,0.56814273199684,NA,NA
"Hand_arm","KL divergence (log)","Gpt-4o",1,1.17684697809027,NA,NA
"Hand_arm","KL divergence (log)","Llama-3.1-70B",1,0.464391256328535,NA,NA
"Head","Correlation coefficient","Gpt-4o",1,0.430565114231987,NA,NA
"Head","Correlation coefficient","Llama-3.1-70B",1,0.183135686228551,NA,NA
"Head","KL divergence (log)","Gpt-4o",1,2.19415366020584,NA,NA
"Head","KL divergence (log)","Llama-3.1-70B",1,2.39951791448218,NA,NA
"Mouth","Correlation coefficient","Gpt-4o",1,0.711244505091803,NA,NA
"Mouth","Correlation coefficient","Llama-3.1-70B",1,0.612674896437765,NA,NA
"Mouth","KL divergence (log)","Gpt-4o",1,2.03181853495958,NA,NA
"Mouth","KL divergence (log)","Llama-3.1-70B",1,1.63374941898279,NA,NA
"Torso","Correlation coefficient","Gpt-4o",1,0.47167622307524,NA,NA
