"category","wordFeatures","Prop","Index","Model","N","Mean","SD","SE"
"function_words","concreteness",10,"Correlation coefficient","Gpt-4o",5,0.540439032563799,0.129639560903423,0.0579765741506554
"function_words","concreteness",10,"Correlation coefficient","Llama-3.1-70B",5,0.586068822391468,0.135060464754839,0.060400876052907
"function_words","concreteness",10,"KL divergence (log)","Gpt-4o",5,3.10058417920607,0.0865147218828733,0.0386905598369187
"function_words","concreteness",10,"KL divergence (log)","Llama-3.1-70B",5,2.89922682170009,0.317325410557169,0.141912237798772
"function_words","concreteness",20,"Correlation coefficient","Gpt-4o",5,0.658778579112263,0.184500791506195,0.0825112623420735
"function_words","concreteness",20,"Correlation coefficient","Llama-3.1-70B",5,0.594014678732646,0.304119607166489,0.136006422982961
"function_words","concreteness",20,"KL divergence (log)","Gpt-4o",5,3.17832966812657,0.179891281152807,0.0804498266434405
"function_words","concreteness",20,"KL divergence (log)","Llama-3.1-70B",5,2.98623913011462,0.459015211722814,0.205277843223734
"function_words","concreteness",30,"Correlation coefficient","Gpt-4o",5,0.214558253326716,0.71475660020969,0.319648869087102
"function_words","concreteness",30,"Correlation coefficient","Llama-3.1-70B",5,0.303636969291922,0.507074116527015,0.226770438837011
"function_words","concreteness",30,"KL divergence (log)","Gpt-4o",5,3.24578096621721,0.103685238964211,0.0463694485174569
"function_words","concreteness",30,"KL divergence (log)","Llama-3.1-70B",5,3.0735827724424,0.235135089631164,0.105155608862158
"function_words","concreteness",40,"Correlation coefficient","Gpt-4o",5,0.383202127024965,0.259296424943806,0.115960886499404
"function_words","concreteness",40,"Correlation coefficient","Llama-3.1-70B",5,0.441780770787655,0.268004966161155,0.119855464528775
"function_words","concreteness",40,"KL divergence (log)","Gpt-4o",5,3.38277880488956,0.107089112832298,0.0478917071886329
"function_words","concreteness",40,"KL divergence (log)","Llama-3.1-70B",5,3.00389179664494,0.298486335570246,0.133487147337977
"function_words","concreteness",50,"Correlation coefficient","Gpt-4o",5,0.271113097169638,0.65938515098956,0.294886004193324
"function_words","concreteness",50,"Correlation coefficient","Llama-3.1-70B",5,0.714919333848297,0.176388584132831,0.07888337291519
"function_words","concreteness",50,"KL divergence (log)","Gpt-4o",5,3.14474285624323,0.00902300826717588,0.00403521196938957
"function_words","concreteness",50,"KL divergence (log)","Llama-3.1-70B",5,3.26286617901177,0.162760325281195,0.0727886302737461
