"category","wordFeatures","Index","Model","N","Mean","SD","SE"
"function_words","concreteness","Correlation coefficient","Gpt-4o",1,0.714285714285714,NA,NA
"function_words","concreteness","Correlation coefficient","Llama-3.1-70B",1,0.428571428571428,NA,NA
"function_words","concreteness","KL divergence (log)","Gpt-4o",1,3.07836259837374,NA,NA
"function_words","concreteness","KL divergence (log)","Llama-3.1-70B",1,3.07176451135672,NA,NA
"function_words","adultBOI","Correlation coefficient","Gpt-4o",1,0.374352442963573,NA,NA
"function_words","adultBOI","Correlation coefficient","Llama-3.1-70B",1,0.298807152333598,NA,NA
"function_words","adultBOI","KL divergence (log)","Gpt-4o",1,3.43345011183298,NA,NA
"function_words","adultBOI","KL divergence (log)","Llama-3.1-70B",1,3.07836259837374,NA,NA
"function_words","childBOI","Correlation coefficient","Gpt-4o",1,0.612372435695794,NA,NA
"function_words","childBOI","Correlation coefficient","Llama-3.1-70B",1,0.801783725737273,NA,NA
"function_words","childBOI","KL divergence (log)","Gpt-4o",1,3.42418578885503,NA,NA
"function_words","childBOI","KL divergence (log)","Llama-3.1-70B",1,3.42418578885503,NA,NA
"function_words","iconicity","Correlation coefficient","Gpt-4o",1,0.445435403187374,NA,NA
"function_words","iconicity","Correlation coefficient","Llama-3.1-70B",1,0.580072921137968,NA,NA
"function_words","iconicity","KL divergence (log)","Gpt-4o",1,3.41483483499496,NA,NA
"function_words","iconicity","KL divergence (log)","Llama-3.1-70B",1,3.2606841551677,NA,NA
"function_words","babiness","Correlation coefficient","Gpt-4o",1,0.944911182523068,NA,NA
"function_words","babiness","Correlation coefficient","Llama-3.1-70B",1,0.866921446863011,NA,NA
"function_words","babiness","KL divergence (log)","Gpt-4o",1,3.26614949912687,NA,NA
"function_words","babiness","KL divergence (log)","Llama-3.1-70B",1,2.85521904705953,NA,NA
"function_words","valence","Correlation coefficient","Gpt-4o",1,-0.224733287487747,NA,NA
"function_words","valence","Correlation coefficient","Llama-3.1-70B",1,NA,NA,NA
"function_words","valence","KL divergence (log)","Gpt-4o",1,3.27158513539068,NA,NA
"function_words","valence","KL divergence (log)","Llama-3.1-70B",1,3.42418578885503,NA,NA
"function_words","arousal","Correlation coefficient","Gpt-4o",1,0.807813166395078,NA,NA
"function_words","arousal","Correlation coefficient","Llama-3.1-70B",1,0.374352442963573,NA,NA
"function_words","arousal","KL divergence (log)","Gpt-4o",1,3.42418578885503,NA,NA
"function_words","arousal","KL divergence (log)","Llama-3.1-70B",1,3.42418578885503,NA,NA
"function_words","dominance","Correlation coefficient","Gpt-4o",1,-0.100503781525921,NA,NA
"function_words","dominance","Correlation coefficient","Llama-3.1-70B",1,0.542269254204905,NA,NA
"function_words","dominance","KL divergence (log)","Gpt-4o",1,3.28105322322861,NA,NA
"function_words","dominance","KL divergence (log)","Llama-3.1-70B",1,2.23734140222826,NA,NA
"function_words","Auditory","Correlation coefficient","Gpt-4o",1,-0.505224802281456,NA,NA
"function_words","Auditory","Correlation coefficient","Llama-3.1-70B",1,0.580072921137968,NA,NA
"function_words","Auditory","KL divergence (log)","Gpt-4o",1,2.55379580014734,NA,NA
